Method name,ori_input,ori_output,trans_input,trans_output,frontend_transformer,backend_checker,Holds
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[2 3 9 8 ],[0.4 0.6 1.8 1.6 ],T:ShuffleArrayCollection,C:Negatable,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[9 2 3 8 ],[1.8 0.4 0.6 1.6 ],T:ReverseArrayCollection,C:Negatable,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[16 6 4 18 ],[3.2 1.2 0.8 3.6 ],T:MultiplyConstant,C:Negatable,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[83 18 11 102 ],[16.6 3.6 2.2 20.4 ],T:PolynomialTransformer,C:Negatable,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[11 6 5 12 ],[2.2 1.2 1.0 2.4 ],T:AddConstant,C:Negatable,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[8 3 2 ],[1.6 0.6 0.4 ],T:ExlucdeMaxInArrayCollection,C:Negatable,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[83 18 11 102 ],[16.6 3.6 2.2 20.4 ],T:PolynomialTransformer,C:ExclusiveByMax,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[9 2 3 8 ],[1.8 0.4 0.6 1.6 ],T:ReverseArrayCollection,C:ExclusiveByMax,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[11 6 5 12 ],[2.2 1.2 1.0 2.4 ],T:AddConstant,C:ExclusiveByMax,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[3 9 2 8 ],[0.6 1.8 0.4 1.6 ],T:ShuffleArrayCollection,C:ExclusiveByMax,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[8 3 2 ],[1.6 0.6 0.4 ],T:ExlucdeMaxInArrayCollection,C:ExclusiveByMax,true
