Method name,ori_input,ori_output,trans_input,trans_output,frontend_transformer,backend_checker,Holds
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[9 3 8 2 ],[4.0 3.0 3.0 2.0 ],T:ShuffleArrayCollection,C:InclusiveByMax,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[-8 -3 -2 -9 ],[-3.0 -3.0 -2.0 -4.0 ],T:Negate,C:InclusiveByMax,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 ],[3.0 3.0 2.0 ],T:ExlucdeMaxInArrayCollection,C:InclusiveByMax,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 ],[3.0 3.0 2.0 ],T:ExlucdeMaxInArrayCollection,C:Negatable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[83 18 11 102 ],[3.0 3.0 1.0 2.0 ],T:PolynomialTransformer,C:Negatable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[9 2 3 8 ],[4.0 2.0 3.0 3.0 ],T:ReverseArrayCollection,C:Negatable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[16 6 4 18 ],[1.0 1.0 4.0 3.0 ],T:MultiplyConstant,C:Negatable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[-8 -3 -2 -9 ],[-3.0 -3.0 -2.0 -4.0 ],T:Negate,C:Negatable,true
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[3 2 8 9 ],[3.0 2.0 3.0 4.0 ],T:ShuffleArrayCollection,C:Negatable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[11 6 5 12 ],[1.0 1.0 0.0 2.0 ],T:AddConstant,C:Negatable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 9 10 ],[3.0 3.0 2.0 4.0 0.0 ],T:IncludeMax+1InArrayCollection,C:Negatable,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 ],[3.0 3.0 2.0 ],T:ExlucdeMaxInArrayCollection,C:InversiveRelationChecker,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[9 8 3 2 ],[4.0 3.0 3.0 2.0 ],T:ShuffleArrayCollection,C:InversiveRelationChecker,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[11 6 5 12 ],[1.0 1.0 0.0 2.0 ],T:AddConstant,C:InversiveRelationChecker,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[83 18 11 102 ],[3.0 3.0 1.0 2.0 ],T:PolynomialTransformer,C:InversiveRelationChecker,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 9 10 ],[3.0 3.0 2.0 4.0 0.0 ],T:IncludeMax+1InArrayCollection,C:InversiveRelationChecker,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[16 6 4 18 ],[1.0 1.0 4.0 3.0 ],T:MultiplyConstant,C:InversiveRelationChecker,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[9 2 3 8 ],[4.0 2.0 3.0 3.0 ],T:ReverseArrayCollection,C:InversiveRelationChecker,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[-8 -3 -2 -9 ],[-3.0 -3.0 -2.0 -4.0 ],T:Negate,C:InversiveRelationChecker,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 ],[3.0 3.0 2.0 ],T:ExlucdeMaxInArrayCollection,C:ExclusiveByMax,true
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[16 6 4 18 ],[1.0 1.0 4.0 3.0 ],T:MultiplyConstant,C:ExclusiveByMax,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[-8 -3 -2 -9 ],[-3.0 -3.0 -2.0 -4.0 ],T:Negate,C:ExclusiveByMax,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[11 6 5 12 ],[1.0 1.0 0.0 2.0 ],T:AddConstant,C:ExclusiveByMax,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[8 3 2 9 10 ],[3.0 3.0 2.0 4.0 0.0 ],T:IncludeMax+1InArrayCollection,C:ExclusiveByMax,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[2 8 9 3 ],[2.0 3.0 4.0 3.0 ],T:ShuffleArrayCollection,C:ExclusiveByMax,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[83 18 11 102 ],[3.0 3.0 1.0 2.0 ],T:PolynomialTransformer,C:ExclusiveByMax,false
arrayDiv,[8 3 2 9 ],[3.0 3.0 2.0 4.0 ],[9 2 3 8 ],[4.0 2.0 3.0 3.0 ],T:ReverseArrayCollection,C:ExclusiveByMax,false
